coding	meaning
1140856796	celbenin 1g injection
1140856802	temopen 500mg injection (pdr for recon)
1140856804	amoxidin 250mg capsule
1140856806	amoxidin 500mg capsule
1140856808	amoxil 125mg/5ml syrup
1140856812	almodan 250mg injection
1140856814	almodan 500mg injection
1140856820	amfipen 250mg injection
1140856822	amfipen 500mg injection
1140856824	ampilar 250mg capsule
1140856826	ampilar 500mg capsule
1140856832	baypen 1g injection
1140856834	baypen 2g injection
1140856836	baypen 5g infusion
1140856838	baypen 5g injection
1140856858	keflex-c 125mg chewable tablet
1140856860	keflex-c 250mg chewable tablet
1140856862	cephalothin
1140856864	keflin 1g injection
1140856868	kefadol 500mg injection
1140856870	kefadol 2g injection
1140856878	moxalactam 500mg injection
1140856880	moxalactam 1g injection
1140856882	moxalactam 2g injection
1140856890	azactam 2g infusion
1140856898	achromycin 25g powder
1140856900	achromycin v 250mg capsule
1140856902	achromycin v 125mg/5ml syrup
1140856904	pondocillin 175mg/sachet granules
1140856906	miraxid paediatric sachet
1140856908	pondocillin plus tablet
1140856916	talpen 250mg tablet
1140856918	talpen 125mg/5ml syrup
1140856926	galenamox 125mg/5ml suspension
1140856928	galenamox 250mg/5ml suspension
1140856932	ticar 3g injection
1140856934	timentin 800mg injection
1140856940	mecillinam
1140856942	selexidin 200mg injection
1140856944	selexidin 400mg injection
1140856952	selexid 200mg tablet
1140856954	selexid 100mg/sachet suspension
1140856960	tetrex 250mg capsule
1140856964	achromycin 125mg/5ml syrup
1140856966	aureomycin 250mg capsule
1140856974	clomocycline sodium
1140856976	megaclor 170mg capsule
1140856980	cidomycin 160mg/2ml injection
1140856984	genticin 20mg/2ml paediatric injection
1140856990	lugacin 80mg/2ml injection
1140856992	soframycin 250mg tablet
1140857000	kannasyn 1g/4ml injection
1140857006	arpimycin 125mg/5ml s/f suspension
1140857008	arpimycin 250mg/5ml s/f suspension
1140857010	arpimycin 500mg/5ml s/f suspension
1140857012	erythrolar 250mg tablet
1140857014	erythrolar 500mg tablet
1140857016	erythrolar 250mg/5ml suspension
1140857022	ilotycin 250mg tablet
1140857024	erymax sprinkle 125mg capsule
1140857032	ledermycin 300mg tablet
1140857036	doxatet 100mg tablet
1140857038	vibramycin 50mg/5ml syrup
1140857044	tetralysal 204mg capsule
1140857050	chemocycline 250mg tablet
1140857052	chemocycline 125mg/5ml syrup
1140857054	galenomycin 250mg tablet
1140857056	unimycin 250mg capsule
1140857060	chymocyclar capsule
1140857062	mysteclin capsule
1140857064	mysteclin syrup
1140857092	lincomycin
1140857094	lincocin 500mg capsule
1140857096	lincocin 250mg/5ml syrup
1140857106	chloromycetin powder 5g
1140857108	streptotriad tablet
1140857110	sulphatriad tablet
1140857112	sulphadimethoxine
1140857114	madribon 500mg tablet
1140857120	sulphadimidine 500mg/5ml paediatric suspension
1140857124	sulphafurazole
1140857126	gantrisin 500mg tablet
1140857128	gantrisin 500mg/5ml syrup
1140857134	sulphaguanidine
1140857138	sulphaurea
1140857140	uromide tablet
1140857146	ipral 50mg/5ml paediatric s/f suspension
1140857148	syraprim 100mg tablet
1140857150	syraprim 300mg tablet
1140857152	syraprim 100mg/5ml injection
1140857160	chloramphenicol powder 5g
1140857162	aerosporin 500,000units injection
1140857166	polymyxin b 500,000units injection
1140857180	bactrim paediatric 120mg tablet
1140857182	bactrim 960mg/3ml intramuscular injection
1140857184	bactrim 480mg/5ml intravenous infusion
1140857186	comox 480mg tablet
1140857188	comox 480mg dispersible tablet
1140857190	comox forte 960mg tablet
1140857192	comox 240mg/5ml paediatric suspension
1140857194	laratrim 480mg tablet
1140857196	septrin paediatric 120mg dispersible tablet
1140857198	septrin 960mg/3ml intramuscular injection
1140857200	calcium sulphaloxate
1140857202	enteromide 500mg tablet
1140857206	phthalylsulphathiazole
1140857208	thalazole 500mg tablet
1140857232	elyzol 500mg/100ml intravenous infusion
1140857234	elyzol 500mg suppository
1140857238	teflox 300mg tablet
1140857240	teflox 400mg tablet
1140857288	elyzol 1g suppository
1140857294	metrolyl 200mg tablet
1140857296	metrolyl 400mg tablet
1140857298	metrolyl 500mg/100ml intravenous infusion amp
1140857300	metrolyl 500mg/100ml intravenous infusion bag
1140857302	metrolyl 500mg suppository
1140857304	metrolyl 1g suppository
1140857306	nidazol 200mg tablet
1140857308	fasigyn 800mg/400ml intravenous infusion
1140857310	fasigyn 1.6g/800ml intravenous infusion
1140857326	enoxacin
1140857330	comprecin 200mg tablet
1140857336	temafloxacin
1140857346	nimorazole
1140857348	naxogin 500mg tablet
1140859058	chloramphenicol dtf 1% cream
1140859068	mafenide
1140859070	sulfamylon 8.5% cream
1140859148	nitrofurazone product
1140859150	furacin 0.2% ointment
1140859208	silver sulphadiazine
1140859220	fusidic acid
1140863512	timecef 2g injection
1140863598	ladropen 250mg injection
1140863600	ladropen 500mg injection (pdr for recon)
1140864180	distaclor mr 500mg m/r tablet
1140864352	elyzol 25% dental gel
1140864362	klaricid iv 500mg injection (pdr for recon)
1140864366	aknemin 50mg capsule
1140864368	aknemin 100mg capsule
1140864530	monuril 3g/sachet granules for suspension
1140864584	monuril paediatric 2g/sachet granules for suspension
1140864712	ciloxan 0.3% eye drops
1140864912	fortum 3g injection (pdr for recon)
1140869142	dalacin 2% cream
1140869240	sultrin cream
1140869242	sultrin vaginal tablet
1140872584	benzylpenicillin
1140872586	crystapen 600mg injection (pdr for recon)
1140872590	phenoxymethylpenicillin
1140872596	floxapen 250mg capsule
1140872598	floxapen 500mg capsule
1140872600	floxapen 125mg/5ml syrup
1140872602	floxapen forte 250mg/5ml syrup
1140872604	floxapen 250mg injection (pdr for recon)
1140872606	floxapen 500mg injection (pdr for recon)
1140872608	floxapen 1g injection (pdr for recon)
1140872610	ladropen 250mg capsule
1140872612	ladropen 500mg capsule
1140872614	stafoxil 250mg capsule
1140872616	stafoxil 500mg capsule
1140872622	fluclomix 250 capsule
1140872624	fluclomix 500 capsule
1140872632	galfloxin 250mg capsule
1140872634	galfloxin 500mg capsule
1140872638	temocillin
1140872642	temopen 1g injection (pdr for recon)
1140872646	amoxycillin
1140872650	apsin 250mg tablet
1140872652	apsin 125mg/5ml elixir
1140872656	apsin 250mg/5ml elixir
1140872658	rimapen 250mg tablet
1140872660	distaquaine v-k 250mg tablet
1140872662	stabillin v-k 250mg tablet
1140872664	stabillin v-k 125mg/5ml elixir
1140872666	stabillin v-k 250mg/5ml elixir
1140872668	procaine penicillin
1140872674	cloxacillin
1140872676	orbenin 250mg capsule
1140872678	orbenin 500mg capsule
1140872680	orbenin 250mg injection (pdr for recon)
1140872682	orbenin 500mg injection (pdr for recon)
1140872694	flucloxacillin
1140872708	amoxil 250mg capsule
1140872710	amoxil 500mg capsule
1140872712	amoxil 500mg s/f dispersible tablet
1140872714	amoxil sf 125mg/5ml s/f suspension
1140872716	amix 125 s/f suspension
1140872718	amoxil sf 250mg/5ml s/f suspension
1140872720	amix 250 s/f suspension
1140872722	amoxil 125mg/1.25ml paediatric suspension
1140872724	almodan 125mg/5ml syrup
1140872728	almodan 250mg/5ml syrup
1140872730	amoxymed 250mg capsule
1140872732	amoxymed 125mg/5ml syrup
1140872734	augmentin 625mg tablet
1140872748	ampicillin
1140872758	amfipen 250mg capsule
1140872760	amfipen 500mg capsule
1140872762	amfipen 125mg/5ml syrup
1140872764	amfipen 250mg/5ml syrup
1140872766	rimacillin 250mg capsule
1140872768	rimacillin 500mg capsule
1140872770	rimacillin 125mg/5ml syrup
1140872772	rimacillin 250mg/5ml syrup
1140872776	amrit 125mg/5ml suspension
1140872778	amoxil 750mg/sachet s/f powder
1140872780	amrit 250mg/5ml suspension
1140872782	amoxil 3g/sachet s/f powder
1140872784	amrit 250mg capsule
1140872786	amoxil 250mg injection (pdr for recon)
1140872788	amrit 500mg capsule
1140872790	amoxil 500mg injection (pdr for recon)
1140872792	amopen 250mg capsule
1140872794	amoxil 1g injection (pdr for recon)
1140872796	amopen 500mg capsule
1140872798	augmentin 375mg tablet
1140872800	amopen 125mg/5ml suspension
1140872802	augmentin 375mg s/f dispersible tablet
1140872804	amopen 250mg/5ml suspension
1140872806	flemoxin solutab 375mg s/f dispersible tablet
1140872808	augmentin 125mg/31mg/5ml s/f suspension
1140872810	flemoxin solutab 750mg s/f dispersible tablet
1140872812	augmentin 600mg injection (pdr for recon)
1140872814	amoxil fiztab 125mg s/f chewable tablet
1140872816	augmentin 1.2g injection (pdr for recon)
1140872818	amoxil fiztab 250mg s/f chewable tablet
1140872820	almodan 250mg capsule
1140872822	amoxil fiztab 500mg s/f chewable tablet
1140872824	almodan 500mg capsule
1140872826	augmentin 250mg/62mg/5ml s/f suspension
1140872838	penbritin 250mg capsule
1140872840	penbritin 500mg capsule
1140872844	penbritin 125mg/5ml syrup
1140872846	penbritin 250mg/5ml syrup
1140872848	penbritin 125mg/1.25ml paediatric suspension
1140872850	penbritin 250mg injection (pdr for recon)
1140872852	piperacillin
1140872854	pipril 1g injection (pdr for recon)
1140872856	pipril 2g injection (pdr for recon)
1140872858	pipril 4g infusion (pdr for recon)
1140872860	pipril 4g infusion set
1140872862	tazocin 2g/250mg injection (pdr for recon)
1140872864	tazocin 4g/500mg infusion (pdr for recon)+kit
1140872866	tazocin 4g/500mg injection (pdr for recon)
1140872882	pivampicillin
1140872884	pondocillin 500mg tablet
1140872886	miraxid 225mg tablet
1140872888	miraxid-450 tablet
1140872896	amoram 250mg capsule
1140872898	amoram 500mg capsule
1140872900	amoram 125mg/5ml s/f suspension
1140872902	amoram 250mg/5ml s/f suspension
1140872904	penbritin 500mg injection (pdr for recon)
1140872906	vidopen 250mg capsule
1140872908	vidopen 500mg capsule
1140872910	ampiclox injection (pdr for recon)
1140872912	ampiclox neonatal s/f suspension
1140872914	ampiclox neonatal injection (pdr for recon)
1140872916	flu-amp 250/250mg capsule
1140872918	magnapen capsule
1140872920	magnapen syrup
1140872922	magnapen 500mg injection (pdr for recon)
1140872924	magnapen 1g injection (pdr for recon)
1140872934	ampiclox 500mg capsule
1140872936	ampiclox 250mg/5ml syrup
1140872952	ambaxin 400mg tablet
1140872960	amix 250 capsule
1140872962	amix 500 capsule
1140872964	galenamox 250mg capsule
1140872966	galenamox 500mg capsule
1140872968	galenamox 125mg/5ml s/f suspension
1140872970	galenamox 250mg/5ml s/f suspension
1140872972	rimoxallin 125mg/5ml syrup
1140872974	rimoxallin 250mg capsule
1140872976	rimoxallin 500mg capsule
1140872978	rimoxallin 250mg/5ml syrup
1140872982	carbenicillin
1140872984	pyopen 1g injection (pdr for recon)
1140872986	pyopen 5g injection (pdr for recon)
1140872994	uticillin 500mg tablet
1140872998	ticarcillin
1140873000	ticar 1g injection (pdr for recon)
1140873002	ticar 5g injection (pdr for recon)
1140873004	ticar 5g infusion set
1140873006	timentin 1.6g injection (pdr for recon)
1140873008	timentin 3.2g injection (pdr for recon)
1140873020	cefaclor
1140873022	distaclor 250mg capsule
1140873024	distaclor 125mg/5ml suspension
1140873026	distaclor 250mg/5ml suspension
1140873066	azlocillin
1140873068	securopen 500mg injection (pdr for recon)
1140873070	securopen 1g injection (pdr for recon)
1140873072	securopen 2g injection (pdr for recon)
1140873074	securopen 5g infusion (pdr for recon)
1140873090	distaclor 500mg capsule
1140873094	distaclor mr 375mg m/r tablet
1140873098	cefadroxil
1140873100	baxan 500mg capsule
1140873102	baxan 125mg/5ml suspension
1140873104	baxan 250mg/5ml suspension
1140873106	baxan 500mg/5ml suspension
1140873108	fortum 2g infusion (pdr for recon)
1140873110	fortum 2g infusion (pdr for recon)+saline kit
1140873124	ceftizoxime
1140873126	cefizox 500mg injection (pdr for recon)
1140873128	cefizox 1g injection (pdr for recon)
1140873130	cefizox 2g injection (pdr for recon)
1140873138	cefuroxime
1140873140	zinacef 250mg injection (pdr for recon)
1140873142	zinacef 750mg injection (pdr for recon)
1140873144	zinacef 1.5g injection (pdr for recon)
1140873146	zinnat 125mg tablet
1140873148	zinnat 250mg tablet
1140873154	zinacef 1.5g infusion (pdr for recon)
1140873156	zinnat 125mg/5ml suspension
1140873168	cefotaxime
1140873170	claforan 500mg injection (pdr for recon)
1140873172	claforan 1g injection (pdr for recon)
1140873174	claforan 2g injection (pdr for recon)
1140873182	cefoxitin
1140873184	mefoxin 1g injection (pdr for recon)
1140873186	mefoxin 2g injection (pdr for recon)
1140873194	monaspor 500mg injection (pdr for recon)
1140873196	monaspor 1g injection (pdr for recon)
1140873202	ceftazidime
1140873204	fortum 250mg injection (pdr for recon)
1140873206	fortum 500mg injection (pdr for recon)
1140873208	fortum 1g injection (pdr for recon)
1140873210	fortum 2g injection (pdr for recon)
1140873216	zinnat 125mg/sachet granules
1140873220	zinacef 750mg infusion (pdr for recon)+saline kit
1140873224	zinacef+metronidazole 750mg/500mg infusion kit
1140873242	cephamandole
1140873244	kefadol 1g injection (pdr for recon)
1140873248	cephazolin
1140873250	kefzol 500mg injection (pdr for recon)
1140873252	kefzol 1g injection (pdr for recon)
1140873258	cephradine
1140873260	velosef 250mg capsule
1140873262	velosef 500mg capsule
1140873264	velosef 250mg/5ml syrup
1140873266	velosef 500mg injection (pdr for recon)
1140873268	velosef 1g injection (pdr for recon)
1140873280	aztreonam
1140873282	azactam 500mg injection (pdr for recon)
1140873284	azactam 1g injection (pdr for recon)
1140873286	azactam 2g injection (pdr for recon)
1140873288	cephalexin
1140873304	ceporex 250mg capsule
1140873306	ceporex 500mg capsule
1140873308	ceporex 250mg tablet
1140873310	ceporex 500mg tablet
1140873312	ceporex 125mg/1.25ml paediatric drops
1140873314	ceporex 125mg/5ml suspension
1140873316	ceporex 250mg/5ml suspension
1140873318	ceporex 125mg/5ml syrup
1140873320	ceporex 250mg/5ml syrup
1140873322	ceporex 500mg/5ml syrup
1140873324	keflex 250mg capsule
1140873326	keflex 500mg capsule
1140873328	keflex 250mg tablet
1140873330	keflex 500mg tablet
1140873332	keflex 125mg/5ml suspension
1140873334	keflex 250mg/5ml suspension
1140873336	ceporex 1g tablet
1140873350	imipenem + cilastatin
1140873356	primaxin iv 250mg intravenous infusion (pdr for recon)
1140873358	primaxin iv 500mg intravenous infusion (pdr for recon)
1140873360	primaxin im 500mg intramuscular injection (pdr for recon)
1140873364	economycin 250mg capsule
1140873366	economycin 250mg tablet
1140873368	sustamycin 250mg m/r capsule
1140873370	tetrabid-organon 250mg m/r capsule
1140873372	tetrachel 250mg capsule
1140873374	tetrachel 250mg tablet
1140873376	tetracycline+procaine 100mg/40mg intramuscular injection
1140873384	compound tetracycline 300mg tablet
1140873390	ledermycin 150mg capsule
1140873394	doxycycline
1140873396	doxylar 100mg capsule
1140873398	nordox 100mg capsule
1140873400	vibramycin 50mg capsule
1140873402	vibramycin 100mg capsule
1140873404	vibramycin-d 100mg dispersible tablet
1140873408	demix 100 capsule
1140873410	ramysis 100mg capsule
1140873412	demix 50 capsule
1140873416	cefixime
1140873422	suprax 200mg tablet
1140873424	cefodizime
1140873428	timecef 1g injection (pdr for recon)
1140873430	cefpodoxime
1140873434	ceftriaxone
1140873436	rocephin 250mg injection (pdr for recon)
1140873438	rocephin 1g injection (pdr for recon)
1140873440	rocephin 2g injection (pdr for recon)
1140873450	tetracycline
1140873456	achromycin 250mg capsule
1140873458	achromycin 250mg tablet
1140873460	achromycin intramuscular injection
1140873462	achromycin 250mg i-v infusion (pdr for recon)
1140873464	achromycin 500mg i-v infusion (pdr for recon)
1140873466	deteclo tablet
1140873474	lymecycline
1140873476	tetralysal 300 capsule
1140873480	minocycline
1140873482	minocin 50mg tablet
1140873484	minocin 100mg tablet
1140873488	minocin mr 100mg m/r capsule
1140873490	blemix 50 tablet
1140873496	kanamycin
1140873498	kannasyn 1g injection (pdr for recon)
1140873506	nivemycin 500mg tablet
1140873508	nivemycin 100mg/5ml elixir
1140873512	mycifradin 500mg tablet
1140873514	netilmicin
1140873516	netillin 15mg/1.5ml injection
1140873518	netillin 50mg/1ml injection
1140873520	netillin 100mg/1ml injection
1140873522	netillin 150mg/1.5ml injection
1140873524	netillin 200mg/2ml injection
1140873536	tobramycin
1140873538	nebcin 20mg/2ml injection
1140873540	nebcin 40mg/1ml injection
1140873542	nebcin 80mg/2ml injection
1140873548	oxytetracycline
1140873554	berkmycen 250mg tablet
1140873556	imperacin 250mg tablet
1140873558	oxymycin 250mg tablet
1140873560	terramycin 250mg capsule
1140873562	terramycin 250mg tablet
1140873564	oxytetramix 250 tablet
1140873568	mysteclin tablet
1140873570	tetracycline+nystatin 250mg/250ku tablet
1140873574	gentamicin
1140873582	cidomycin 20mg/2ml paediatric injection
1140873586	genticin 80mg/2ml injection ampoule
1140873588	amikacin
1140873590	amikin 500mg/2ml injection
1140873592	amikin 100mg/2ml paediatric injection
1140873608	erythromycin
1140873618	erycen 250mg e/c tablet
1140873620	ilosone forte 250mg/5ml suspension
1140873622	retcin 250mg e/c tablet
1140873630	erythroped a 1g/sachet granules
1140873632	erythroped 250mg/sachet granules
1140873634	clarithromycin
1140873640	klaricid 125mg/5ml paediatric suspension
1140873642	azithromycin
1140873648	zithromax 250mg capsule
1140873650	clindamycin
1140873652	dalacin c 75mg capsule
1140873654	dalacin c 150mg capsule
1140873656	dalacin c 75mg/5ml paediatric suspension
1140873658	dalacin c 300mg/2ml injection
1140873660	dalacin c 600mg/4ml injection
1140873672	erycen 500mg e/c tablet
1140873674	erythroped forte 500mg/sachet granules
1140873676	erymax 250mg e/c granules in capsule
1140873678	erythroped pi 125mg/sachet granules
1140873680	erythrocin 250mg tablet
1140873682	erythrocin 500mg tablet
1140873690	rommix 125 suspension
1140873692	rommix 250 e/c tablet
1140873694	erythromid 250mg e/c tablet
1140873696	erythromid ds 500mg e/c tablet
1140873698	rommix 500 e/c tablet
1140873700	erythroped pi 125mg/5ml suspension
1140873702	erythrocin 1g infusion (pdr for recon)
1140873708	erythroped forte 500mg/5ml suspension
1140873712	erythroped a 500mg tablet
1140873714	ilosone 250mg capsule
1140873718	ilosone 500mg tablet
1140873722	ilosone 125mg/5ml suspension
1140873730	acrosoxacin
1140873732	eradacin 150mg capsule
1140873738	chloromycetin 250mg capsule
1140873740	chloromycetin 125mg/5ml suspension
1140873742	chloromycetin 300mg injection (pdr for recon)
1140873744	chloromycetin 1.2g injection (pdr for recon)
1140873746	kemicetine 1g injection (pdr for recon)
1140873748	vancocin 125mg matrigel capsule
1140873750	vancocin 250mg matrigel capsule
1140873752	vancocin cp 500mg injection (pdr for recon)
1140873754	vancocin cp 250mg injection (pdr for recon)
1140873756	vancocin cp 1g injection (pdr for recon)
1140873768	teicoplanin
1140873774	targocid 400mg injection (pdr for recon)+diluent
1140873776	targocid 200mg injection (pdr for recon)+diluent
1140873780	co-trimoxazole
1140873798	bactrim 480mg tablet
1140873810	colistin
1140873812	colomycin 1.5million units tablet
1140873814	colomycin 250,000units/5ml syrup
1140873816	colomycin 500,000units injection (pdr for recon)
1140873818	colomycin 1million units injection (pdr for recon)
1140873820	colistin sulphate 1.5million units tablet
1140873822	colistin sulphate 250,000units/5ml syrup
1140873824	colistin sulphomethate sodium 500,000u injection powder
1140873826	colistin sulphomethate na 1million units inj (pdr for recon)
1140873828	sodium fusidate
1140873830	fucidin 250mg tablet
1140873832	fucidin 250mg/5ml suspension
1140873834	fucidin 500mg i-v infusion+buffer
1140873842	polymyxin b
1140873844	spectinomycin
1140873846	trobicin 2g injection+diluent
1140873850	vancomycin
1140873856	bactrim 480mg dispersible tablet
1140873858	bactrim 960mg tablet
1140873860	bactrim adult suspension
1140873862	bactrim paediatric s/f syrup
1140873864	chemotrim paediatric suspension
1140873866	fectrim 80mg/400mg tablet
1140873868	fectrim forte 160mg/800mg dispersible tablet
1140873870	fectrim 120mg paediatric tablet
1140873872	laratrim 160mg/800mg tablet
1140873874	laratrim adult suspension
1140873876	monotrim 100mg tablet
1140873878	monotrim 200mg tablet
1140873880	monotrim 50mg/5ml s/f suspension
1140873882	monotrim 100mg/5ml injection
1140873884	tiempe 100mg tablet
1140873886	tiempe 200mg tablet
1140873888	trimogal 100mg tablet
1140873890	trimogal 200mg tablet
1140873892	trimopan 100mg tablet
1140873894	trimopan 200mg tablet
1140873896	trimopan 50mg/5ml s/f suspension
1140873898	triprimix 200 tablet
1140873928	laratrim paediatric syrup
1140873930	septrin 480mg tablet
1140873932	septrin 480mg dispersible tablet
1140873934	septrin forte 960mg tablet
1140873936	septrin adult suspension
1140873938	septrin paediatric s/f suspension
1140873940	septrin 480mg/5ml intravenous infusion
1140873942	comixco 80/400 tablet
1140873944	comixco 160/800 tablet
1140873946	comixco paediatric suspension
1140873948	comixco 80/400 dispersible tablet
1140873950	sulfametopyrazine
1140873952	kelfizine w 2g tablet
1140873956	sulphadiazine
1140873962	sulphadimidine
1140873966	trimethoprim
1140873976	ipral 100mg tablet
1140873978	ipral 200mg tablet
1140874014	metronidazole
1140874030	metronidazole+nystatin 400mg/10000units tablet+pessary
1140874032	flagyl 200mg tablet
1140874034	flagyl 400mg tablet
1140874036	flagyl 100mg/20ml infusion
1140874038	flagyl s 200mg/5ml suspension
1140874040	flagyl 500mg suppository
1140874042	flagyl 1g suppository
1140874044	flagyl compak tablet+pessary
1140874046	vaginyl 200mg tablet
1140874048	vaginyl 400mg tablet
1140874050	zadstat 200mg tablet
1140874052	zadstat 500mg/100ml infusion
1140874054	zadstat 500mg suppository
1140874098	streptomycin
1140874112	zadstat 1g suppository
1140874114	flagyl 500mg/100ml infusion
1140874116	metrozol 500mg/100ml infusion
1140874118	tinidazole
1140874120	fasigyn 500mg tablet
1140874126	nitrofurantoin
1140874138	ciprofloxacin
1140874140	ciproxin 250mg tablet
1140874142	ciproxin 100mg/50ml intravenous infusion
1140874144	ciproxin 200mg/100ml intravenous infusion
1140874146	ciproxin 500mg tablet
1140874148	ciproxin 750mg tablet
1140874160	ofloxacin
1140874164	tarivid 200mg tablet
1140874166	tarivid 200mg/100ml intravenous infusion
1140874170	tarivid 100mg/50ml intravenous infusion
1140874174	tarivid 400mg tablet
1140874178	norfloxacin
1140874184	furadantin 50mg tablet
1140874186	furadantin 100mg tablet
1140874188	furadantin 25mg/5ml s/f suspension
1140874190	macrodantin 50mg capsule
1140874192	macrodantin 100mg capsule
1140874194	urantoin 50mg tablet
1140874196	urantoin 100mg tablet
1140874198	macrobid 100mg m/r capsule
1140874208	cinoxacin
1140874210	cinobac 500mg capsule
1140874214	hexamine hippurate
1140874216	hiprex 1g tablet
1140874220	nalidixic acid
1140874226	mictral 660mg/sachet effervescent granules
1140874228	negram 500mg tablet
1140874230	negram 300mg/5ml s/f suspension
1140874232	uriben 300mg/5ml suspension
1140875558	chloromycetin 1% eye ointment
1140875560	minims chloramphenicol 0.5% single-use eye drops
1140875562	sno phenicol 0.5% eye drops
1140875566	chloramphenicol 1% eye ointment
1140875568	aureomycin 1% eye ointment
1140875576	cidomycin eye ointment
1140875580	genticin eye ointment
1140875582	minims gentamicin 0.3% single-use eye drops
1140875650	minims neomycin sulphate 0.5% single-use eye drops
1140875652	neosporin eye drops
1140875658	polyfax eye ointment
1140875660	polytrim eye drops
1140875662	polytrim eye ointment
1140875664	polymyxin b sulphate+bacitracin zinc eye ointment
1140875666	polymyxin b sulphate+trimethoprim eye ointment
1140875730	tobralex eye drops
1140875736	fucithalmic m/r eye drops
1140875740	noroxin 0.3% eye drops
1140875746	exocin 0.3% eye drops
1140875968	chloramphenicol 5% ear drops
1140875970	chloramphenicol 10% ear drops
1140876036	neomycin+hydrocortisone 0.5%/1.5% ear drops
1140876044	neomycin+hydrocortisone 0.5%/1.5% eye/ear ointment
1140876046	neomycin+hydrocortisone 0.5%/1.5% eye/ear drops
1140878520	soframycin eye ointment
1140878526	bactroban ointment
1140878528	flamazine 1% cream
1140880068	topicycline topical solution
1140880140	zineryt topical solution
1140880142	stiemycin solution
1140880146	erythromycin+zinc acetate 40mg/12mg/ml topical solution
1140880200	dalacin t topical solution
1140880202	dalacin t rollerball lotion
1140880276	achromycin topical 3% ointment
1140880336	colomycin topical powder
1140880338	colistin sulphate topical powder
1140880340	soframycin ointment
1140880342	mupirocin
1140880350	cicatrin powder spray
1140880352	polybactrin powder spray
1140880354	tribiotic spray
1140880356	graneodin ointment
1140880360	polymyxin b sulphate+bacitracin zinc ointment
1140880366	aureomycin 3% ointment
1140880378	genticin cream
1140880462	metrogel 0.75% gel
1140882324	piperacillin+tazobactam
1140882326	securopen 5g infusion set
1140882328	ticarcillin+clavulanic acid
1140882330	suprax 100mg/5ml paediatric oral suspension
1140882332	orelox 100mg tablet
1140882336	cefuroxime+metronidazole
1140882340	aureomycin powder
1140882344	dentomycin 10mg dental gel
1140882352	cidomycin 80mg/2ml injection ampoule
1140882354	cidomycin 80mg/2ml injection vial
1140882356	erythroped 250mg/5ml suspension
1140882358	erythroped sf 250mg/5ml suspension
1140882360	erythroped pi sf 125mg/5ml suspension
